04-15-2026 20:02:12.671,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-15-2026 19:39:19.006,668,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:20.590,669,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:22.227,670,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:28.785,671,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:30.386,672,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:32.004,673,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:38.600,674,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:40.197,675,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:41.817,676,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:48.395,677,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:49.958,678,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:51.563,679,RECV,7E004690007D33A200425E9122DACC01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636D0
04-15-2026 19:39:52.734,680,RECV,7E00028A0372
04-15-2026 19:39:54.149,681,RECV,7E00028A066F
04-15-2026 19:39:54.149,682,RECV,7E00028A4332
04-15-2026 19:40:11.936,683,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:13.538,684,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:15.143,685,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:21.702,686,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:23.306,687,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:24.935,688,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:26.520,689,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:33.102,690,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:34.718,691,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:36.335,692,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:42.915,693,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:44.494,694,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:46.114,695,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:52.711,696,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:40:54.318,697,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
